,County Name,countyFIPS_x,Cases,Death,Population,new_cases,new_deaths,Normalized cases,Normalized deaths,countyFIPS_y,Total people commuting to work,Driving alone,Carpooled,Only public transports,Walked,Other means,Work from home,Mean travel time to work,Total people has occupation,Management&business&science&arts occupations,Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Private health insurance,Public health insurance,No health insurance,Total households,Mean household income,Per capita income
0,Alamance County,21164572,4744102,69663,169509,20380.0,289.0,1202.296043277939,17.049242223126807,37001,76425,65546,6658,139,1112,469,2501,24.2,77665,25818,13480,16965,7749,13653,106829,57892,18177,64439,67667,27312
1,Alexander County,21165716,1097411,18884,37497,4869.0,85.0,1298.5038803104253,22.66848014507828,37003,16401,13840,1432,0,146,397,586,24.5,16913,4566,2186,3012,1622,5527,23522,14336,3185,14169,68416,26688
2,Alleghany County,21166860,272870,1143,11137,1143.0,5.0,1026.3087007273057,4.489539373260303,37005,4536,3702,477,17,95,7,238,24.3,4644,1395,752,1084,768,645,6329,5421,1230,4920,51814,23267
3,Anson County,21168004,669698,13250,24446,2847.0,57.0,1164.607706782296,23.316698028307297,37007,10224,8596,1210,0,204,69,145,26.7,10383,2627,2131,1339,1294,2992,13580,10111,2560,9521,52077,21635
4,Ashe County,21169148,536080,9728,27203,2456.0,45.0,902.8415983531207,16.54229312943425,37009,12229,9230,1757,10,214,203,815,24.9,12512,3371,2383,2789,2235,1734,17190,11437,3340,11938,55125,24814
5,Avery County,21170292,540461,4932,17557,2238.0,21.0,1274.7052457709192,11.961041180156064,37011,6370,4937,736,34,278,138,247,19.9,6545,1983,1859,1202,780,721,9046,6234,2362,6551,56935,21167
6,Beaufort County,21171436,1194215,25131,46994,5053.0,104.0,1075.2436481252928,22.1304847427331,37013,19213,16702,1080,20,325,219,867,23.1,19383,6072,3741,3533,2696,3341,28211,21578,5633,19701,64182,27504
7,Bertie County,21172580,501503,11946,18947,1892.0,46.0,998.574972291125,24.27824985485829,37015,7196,5814,874,64,117,78,249,28.0,7338,1950,1196,1401,941,1850,9779,8863,2150,7909,55018,22947
8,Bladen County,21173724,901280,12201,32722,4241.0,62.0,1296.0699223763836,18.94749709675449,37017,12686,11070,1013,24,169,76,334,25.8,13159,3651,2730,2332,2363,2083,18222,16372,4277,13636,55229,23440
9,Brunswick County,21174868,2304492,38072,142820,11336.0,169.0,793.7263688559053,11.833076599915968,37019,51753,41267,5131,202,476,798,3879,24.3,52589,16149,11099,12740,6732,5869,89095,62218,12789,56056,75081,33312
