countyFIPS,County Name,State,Total population,Males,Females,Sex ratio(males per 100 females),Under 5years,5-9years,10-14years,15-19years,20-24years,25-34years,35-44years,45-54years,55-59years,60-64years,65-74years,75-84years,85years and over,Median age(years),Under 18years,18years and over,18years and over Male,18years and over Female,Sex ratio(18years and over),White population,Black population,Asian population,Voting population,Voting population(Male),Voting population(Female)
1001,Autauga County,AL,55380,26934,28446,94.7,3217,3814,3600,3812,3570,7056,7306,7736,4247,2739,4818,2581,884,38.2,13205,42175,20164,22011,91.6,42527,10538,573,41647,19823,21824
1003,Baldwin County,AL,212830,103496,109334,94.7,11689,12058,14262,12831,10878,23942,25834,28412,15081,15312,25739,12744,4048,43.0,46235,166595,79948,86647,92.3,183471,19718,1969,162883,77958,84925
1005,Barbour County,AL,25361,13421,11940,112.4,1349,1622,1422,1412,1592,3642,3038,3310,1628,1636,2844,1461,405,40.4,5307,20054,10760,9294,115.8,11869,12066,134,19728,10529,9199
1007,Bibb County,AL,22493,12150,10343,117.5,1315,1219,1132,1400,1259,3276,2910,3519,1415,1464,2098,1044,442,40.9,4631,17862,9547,8315,114.8,17272,5014,27,17662,9469,8193
1009,Blount County,AL,57681,28495,29186,97.6,3432,3590,4034,3622,3212,6839,7263,7699,3855,3809,6111,3160,1055,40.7,13389,44292,21668,22624,95.8,55062,928,212,42722,20833,21889
1011,Bullock County,AL,10248,5571,4677,119.1,542,638,554,814,599,1271,1384,1361,675,770,1020,449,171,40.2,2128,8120,4480,3640,123.1,2244,7666,50,8120,4480,3640
1013,Butler County,AL,19828,9081,10747,84.5,1149,1292,1203,1272,1093,2339,2529,2227,1416,1408,2288,1087,525,40.8,4455,15373,6876,8497,80.9,10280,9001,69,15308,6843,8465
1015,Calhoun County,AL,114618,55141,59477,92.7,6608,6619,7149,7747,7387,15129,13694,14594,8016,7937,11727,5951,2060,39.6,24952,89666,42341,47325,89.5,84439,23830,1014,88204,41767,46437
1017,Chambers County,AL,33660,16089,17571,91.6,2043,1795,2026,1816,2191,4128,3836,4551,2630,2174,3958,1859,653,42.0,7065,26595,12577,14018,89.7,19423,13316,376,26171,12301,13870
1019,Cherokee County,AL,25903,12777,13126,97.3,1187,1454,1489,1598,1301,2495,2871,3688,2019,1990,3511,1787,513,46.5,5245,20658,10163,10495,96.8,24052,1191,64,20578,10102,10476
1021,Chilton County,AL,44055,21459,22596,95.0,2759,3225,2657,2894,2474,5782,5874,5582,2948,2808,4152,2288,612,38.7,10635,33420,16196,17224,94.0,36835,4041,195,32309,15631,16678
1023,Choctaw County,AL,12925,6145,6780,90.6,679,628,799,844,646,1276,1419,1739,1017,956,1660,960,302,46.3,2603,10322,4780,5542,86.3,7337,5500,17,10286,4766,5520
1025,Clarke County,AL,24128,11403,12725,89.6,1377,1320,1573,1584,1504,2611,2849,3220,1826,1585,2583,1524,572,42.5,5287,18841,8757,10084,86.8,12781,11044,104,18827,8757,10070
1027,Clay County,AL,13337,6438,6899,93.3,680,677,970,856,695,1503,1544,1746,1115,853,1539,873,286,43.3,2778,10559,5018,5541,90.6,11092,2075,21,10378,4961,5417
1029,Cleburne County,AL,14916,7309,7607,96.1,849,1116,834,876,760,1757,1729,2132,991,973,1696,752,451,43.1,3383,11533,5598,5935,94.3,14000,410,3,11396,5512,5884
1031,Coffee County,AL,51662,25479,26183,97.3,3207,3306,3634,3226,2996,6609,6679,6900,3613,2942,4976,2683,891,39.3,12259,39403,19168,20235,94.7,39118,8733,745,38416,18680,19736
1033,Colbert County,AL,54771,26284,28487,92.3,3139,3294,3085,3108,3186,6588,6602,7339,3782,4004,6055,3389,1200,42.4,11553,43218,20353,22865,89.0,43289,8872,259,42618,20052,22566
1035,Conecuh County,AL,12394,6078,6316,96.2,700,796,648,865,552,1340,1316,1537,799,1095,1708,724,314,44.8,2604,9790,4644,5146,90.2,6287,5919,56,9767,4633,5134
1037,Coosa County,AL,10757,5462,5295,103.2,364,440,665,573,456,1089,1289,1550,1145,756,1373,814,243,48.4,1801,8956,4478,4478,100.0,7078,3615,0,8907,4471,4436
1039,Covington County,AL,37200,17986,19214,93.6,2165,2426,2141,2143,2001,4363,4053,4754,2618,2810,4269,2628,829,43.3,8163,29037,13774,15263,90.2,31460,5018,184,28893,13731,15162
1041,Crenshaw County,AL,13844,6748,7096,95.1,788,852,915,831,768,1670,1577,1798,994,1042,1591,749,269,41.7,3106,10738,5126,5612,91.3,9879,3228,175,10614,5040,5574
1043,Cullman County,AL,82853,40759,42094,96.8,5115,4657,5673,4985,4697,10328,10141,10960,5673,5508,8961,4949,1206,40.8,18705,64148,31365,32783,95.7,78804,1073,314,62992,30686,32306
1045,Dale County,AL,49277,24301,24976,97.3,3231,3313,2944,2985,3295,7146,5832,6003,3581,2866,4708,2578,795,37.3,11385,37892,18467,19425,95.1,35655,10000,699,37106,18194,18912
1047,Dallas County,AL,39149,18039,21110,85.5,2393,2898,2422,2850,2386,4571,4383,4712,3006,2719,4078,2113,618,39.6,9429,29720,13290,16430,80.9,10906,27693,222,29382,13075,16307
1049,DeKalb County,AL,71310,35318,35992,98.1,4260,4732,5334,4851,4143,8484,8916,9361,4909,4437,7171,3703,1009,39.5,17510,53800,26270,27530,95.4,60924,1039,86,49663,23939,25724
1051,Elmore County,AL,81144,39226,41918,93.6,4737,4929,5284,5169,4932,11465,10874,11133,5621,4947,7426,3529,1098,38.7,18229,62915,29995,32920,91.1,61104,17449,439,62008,29562,32446
1053,Escambia County,AL,37057,18856,18201,103.6,2103,2183,2577,2191,2144,5005,4696,4661,2437,2494,3765,2116,685,40.0,8288,28769,14702,14067,104.5,23053,11878,102,28700,14641,14059
1055,Etowah County,AL,102748,49564,53184,93.2,5916,6103,6125,6302,6270,12248,12669,13832,7156,6870,11391,5922,1944,41.4,22169,80579,38257,42322,90.4,82027,16330,764,78975,37397,41578
1057,Fayette County,AL,16494,8138,8356,97.4,876,902,1087,996,927,1921,1881,2076,1190,1200,2002,1058,378,43.7,3480,13014,6225,6789,91.7,14068,1948,78,12985,6216,6769
1059,Franklin County,AL,31466,15676,15790,99.3,2219,1921,2387,1948,2205,4071,3653,3980,1715,2063,3044,1646,614,38.6,7884,23582,11661,11921,97.8,26118,1385,117,21848,10754,11094
