,countyFIPS,County Name,State,Total people commuting to work,Driving alone,Carpooled,Only public transports,Walked,Other means,Work from home,Mean travel time to work,Total people has occupation,Management&business&science&arts occupations,Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Private health insurance,Public health insurance,No health insurance,Total households,Mean household income,Per capita income
1,1001,Autauga County,AL,24635,21134,1994,162,211,295,839,24.4,24522,9277,4115,5405,1909,3816,38855,19242,3856,21397,75326,29819
2,1003,Baldwin County,AL,93141,78015,7242,45,559,1223,6057,26.9,95091,35297,16913,22607,8863,11411,148438,76905,18679,80930,80986,32626
3,1005,Barbour County,AL,8231,6759,956,27,221,145,123,22.4,8413,2261,1292,1608,1185,2067,11916,11575,2544,9345,47068,18473
4,1007,Bibb County,AL,8167,7110,729,0,11,60,257,29.7,8387,1708,1325,1769,1405,2180,12491,8384,2201,6891,60182,20778
5,1009,Blount County,AL,21690,18983,2098,28,97,155,329,34.4,21917,6613,2869,4431,3552,4452,38888,19499,6159,20847,65639,24747
6,1011,Bullock County,AL,4319,3496,530,0,213,0,80,27.2,4319,884,748,725,541,1421,5162,4505,1122,3521,48571,20877
7,1013,Butler County,AL,7820,6729,824,12,57,102,96,23.7,7930,2165,1300,1588,809,2068,12524,8587,1694,6506,55971,21038
8,1015,Calhoun County,AL,47207,39831,4969,185,636,387,1199,25.0,47896,13521,8146,11039,4977,10213,75218,46300,10737,44605,63417,25345
9,1017,Chambers County,AL,14367,12386,1463,36,100,100,282,23.7,14877,3410,2348,2838,1564,4717,20302,13759,3429,13448,53505,22729
10,1019,Cherokee County,AL,9865,8097,1414,21,44,127,162,29.5,9980,2801,1507,1573,1394,2705,17078,11216,2217,10737,57617,24301
11,1021,Chilton County,AL,17263,14469,2225,0,80,97,392,32.1,17526,3885,2378,4090,3328,3845,27149,16936,5681,16927,62784,24658
12,1023,Choctaw County,AL,4075,3448,429,0,62,58,78,34.5,4173,1103,627,875,666,902,7510,6280,1323,5300,52395,22308
13,1025,Clarke County,AL,7663,6777,740,0,25,46,75,26.6,7770,1814,1137,1469,1279,2071,13839,11161,2305,9090,54687,22225
14,1027,Clay County,AL,5457,4768,377,0,47,23,242,29.1,5527,1340,762,923,573,1929,8009,5844,1354,5198,57585,23519
15,1029,Cleburne County,AL,5428,4591,608,2,37,8,182,34.0,5707,1617,603,1256,859,1372,9246,5854,1808,5680,57990,23142
16,1031,Coffee County,AL,22345,19450,1752,4,188,384,567,22.7,21907,7485,3612,3946,2777,4087,35176,18671,4882,19924,70079,27806
17,1033,Colbert County,AL,22521,20185,1520,25,101,153,537,23.4,22832,6633,3594,4898,2488,5219,38028,20638,3916,21880,60904,25536
18,1035,Conecuh County,AL,4194,3730,289,9,52,59,55,27.9,4232,682,664,1004,404,1478,6885,5502,1566,4553,47286,19769
19,1037,Coosa County,AL,4075,3347,443,0,83,8,194,28.8,4202,925,742,998,567,970,6730,4760,826,4032,56017,23694
20,1039,Covington County,AL,14646,13028,1099,5,107,207,200,25.0,14822,4395,2049,3015,2211,3152,23348,14612,4067,14852,57075,23687
21,1041,Crenshaw County,AL,5641,4516,635,44,111,61,274,29.9,5668,1343,888,1335,828,1274,9000,5700,1185,4943,61468,24563
22,1043,Cullman County,AL,33790,29248,3394,22,251,165,710,26.5,34228,9145,5155,7327,5006,7595,52840,31214,9092,31034,59909,23468
23,1045,Dale County,AL,20189,17444,1407,7,631,255,445,21.6,17994,4834,2779,4365,2558,3458,29752,19294,5370,18806,61001,24645
24,1047,Dallas County,AL,14029,12734,651,0,211,167,266,23.8,14347,3645,2199,2895,1259,4349,19153,19829,4316,15910,47753,19612
25,1049,DeKalb County,AL,29311,24674,3230,51,350,126,880,24.0,29639,7050,4808,5496,3461,8824,41074,28885,9641,26040,56390,21907
26,1051,Elmore County,AL,34080,29460,3047,18,395,186,974,26.8,34180,13016,4742,7407,3348,5667,56119,25855,5655,29708,78370,29052
27,1053,Escambia County,AL,12649,11365,986,39,74,53,132,22.2,12786,3207,2974,2694,1375,2536,20058,13064,4860,13089,50242,19028
28,1055,Etowah County,AL,41552,36088,3384,37,414,333,1296,24.0,42650,12384,7995,9055,4074,9142,66062,40980,10781,38942,60379,24883
