countyFIPS,County Name,State,StateFIPS,Total Cases,Total Deaths,Population
1001,Autauga County ,AL,1,8061.0,114.0,55869.0
1003,Baldwin County ,AL,1,29234.0,347.0,223234.0
1005,Barbour County ,AL,1,2761.0,65.0,24686.0
1007,Bibb County ,AL,1,3129.0,67.0,22394.0
1009,Blount County ,AL,1,7833.0,141.0,57826.0
1011,Bullock County ,AL,1,1307.0,41.0,10101.0
1013,Butler County ,AL,1,2592.0,72.0,19448.0
1015,Calhoun County ,AL,1,16340.0,340.0,113605.0
1017,Chambers County ,AL,1,4284.0,125.0,33254.0
1019,Cherokee County ,AL,1,2161.0,49.0,26196.0
1021,Chilton County ,AL,1,5086.0,117.0,44428.0
1023,Choctaw County ,AL,1,657.0,25.0,12589.0
1025,Clarke County ,AL,1,3943.0,63.0,23622.0
1027,Clay County ,AL,1,1757.0,59.0,13235.0
1029,Cleburne County ,AL,1,1688.0,45.0,14910.0
1031,Coffee County ,AL,1,7283.0,138.0,52342.0
1033,Colbert County ,AL,1,7191.0,145.0,55241.0
1035,Conecuh County ,AL,1,1350.0,33.0,12067.0
1037,Coosa County ,AL,1,1257.0,30.0,10663.0
1039,Covington County ,AL,1,5209.0,129.0,37049.0
1041,Crenshaw County ,AL,1,1840.0,59.0,13772.0
1043,Cullman County ,AL,1,11279.0,212.0,83768.0
1045,Dale County ,AL,1,6572.0,126.0,49172.0
1047,Dallas County ,AL,1,3942.0,164.0,37196.0
1049,DeKalb County ,AL,1,10074.0,197.0,71513.0
1051,Elmore County ,AL,1,11711.0,226.0,81209.0
1053,Escambia County ,AL,1,5128.0,84.0,36633.0
1055,Etowah County ,AL,1,15946.0,377.0,102268.0
1057,Fayette County ,AL,1,2359.0,65.0,16302.0
1059,Franklin County ,AL,1,4887.0,83.0,31362.0
1061,Geneva County ,AL,1,3229.0,86.0,26271.0
1063,Greene County ,AL,1,1031.0,39.0,8111.0
1065,Hale County ,AL,1,2462.0,79.0,14651.0
1067,Henry County ,AL,1,2439.0,45.0,17205.0
1069,Houston County ,AL,1,13426.0,301.0,105882.0
1071,Jackson County ,AL,1,7700.0,122.0,51626.0
1073,Jefferson County ,AL,1,92177.0,1615.0,658573.0
1075,Lamar County ,AL,1,1588.0,38.0,13805.0
1077,Lauderdale County ,AL,1,10997.0,256.0,92729.0
1079,Lawrence County ,AL,1,3412.0,100.0,32924.0
1081,Lee County ,AL,1,18461.0,188.0,164542.0
1083,Limestone County ,AL,1,11518.0,166.0,98915.0
1085,Lowndes County ,AL,1,1512.0,55.0,9726.0
1087,Macon County ,AL,1,1809.0,54.0,18068.0
1089,Madison County ,AL,1,39852.0,538.0,372909.0
1091,Marengo County ,AL,1,2764.0,67.0,18863.0
1093,Marion County ,AL,1,3729.0,108.0,29709.0
1095,Marshall County ,AL,1,14060.0,239.0,96774.0
1097,Mobile County ,AL,1,57253.0,917.0,413210.0
1099,Monroe County ,AL,1,2324.0,42.0,20733.0
1101,Montgomery County ,AL,1,27968.0,630.0,226486.0
1103,Morgan County ,AL,1,15954.0,291.0,119679.0
1105,Perry County ,AL,1,1157.0,28.0,8923.0
1107,Pickens County ,AL,1,2595.0,63.0,19930.0
1109,Pike County ,AL,1,3598.0,80.0,33114.0
1111,Randolph County ,AL,1,2175.0,53.0,22722.0
1113,Russell County ,AL,1,5112.0,51.0,57961.0
1115,St. Clair County ,AL,1,11672.0,253.0,89512.0
1117,Shelby County ,AL,1,29401.0,267.0,217702.0
1119,Sumter County ,AL,1,1144.0,34.0,12427.0
1121,Talladega County ,AL,1,9556.0,191.0,79978.0
1123,Tallapoosa County ,AL,1,4977.0,157.0,40367.0
1125,Tuscaloosa County ,AL,1,28454.0,473.0,209355.0
1127,Walker County ,AL,1,8336.0,291.0,63521.0
1129,Washington County ,AL,1,2082.0,39.0,16326.0
1131,Wilcox County ,AL,1,1363.0,31.0,10373.0
1133,Winston County ,AL,1,3215.0,74.0,23629.0
2013,Aleutians East Borough ,AK,2,389.0,3.0,3337.0
2016,Aleutians West Census Area ,AK,2,727.0,1.0,5634.0
2020,Municipality of Anchorage,AK,2,34712.0,188.0,288000.0
2050,Bethel Census Area ,AK,2,4103.0,22.0,18386.0
2060,Bristol Bay Borough ,AK,2,608.0,2.0,836.0
2068,Denali Borough ,AK,2,121.0,0.0,2097.0
2070,Dillingham Census Area ,AK,2,272.0,2.0,4916.0
2090,Fairbanks North Star Borough ,AK,2,8365.0,44.0,96849.0
2100,Haines Borough ,AK,2,67.0,0.0,2530.0
2105,Hoonah-Angoon Census Area ,AK,2,0.0,0.0,2148.0
2110,City and Borough of Juneau,AK,2,1789.0,3.0,31974.0
2122,Kenai Peninsula Borough ,AK,2,5713.0,19.0,58708.0
2130,Ketchikan Gateway Borough ,AK,2,833.0,2.0,13901.0
2150,Kodiak Island Borough ,AK,2,1359.0,6.0,12998.0
2158,Kusilvak Census Area ,AK,2,1508.0,4.0,8314.0
2164,Lake and Peninsula Borough ,AK,2,0.0,0.0,1592.0
2170,Matanuska-Susitna Borough ,AK,2,12568.0,62.0,108317.0
2180,Nome Census Area ,AK,2,558.0,0.0,10004.0
2185,North Slope Borough ,AK,2,1132.0,4.0,9832.0
2188,Northwest Arctic Borough ,AK,2,699.0,2.0,7621.0
2195,Petersburg Borough ,AK,2,179.0,2.0,3266.0
2198,Prince of Wales - Hyder Census Area ,AK,2,251.0,4.0,6203.0
2220,City and Borough of Sitka,AK,2,829.0,1.0,8493.0
2230,Municipality of Skagway,AK,2,30.0,0.0,1183.0
2240,Southeast Fairbanks Census Area ,AK,2,801.0,6.0,6893.0
2261,Valdez-Cordova Census Area ,AK,2,940.0,2.0,9202.0
2275,City and Borough of Wrangell,AK,2,71.0,0.0,0.0
2282,City and Borough of Yakutat,AK,2,0.0,0.0,2502.0
2290,Yukon-Koyukuk Census Area ,AK,2,392.0,4.0,579.0
4003,Cochise County ,AZ,4,12663.0,300.0,71887.0
4005,Coconino County ,AZ,4,19204.0,336.0,125922.0
4007,Gila County ,AZ,4,7644.0,240.0,143476.0
