,location,date,new_cases,new_deaths,population
0,Bangladesh,2020-03-08,3.0,0.0,831517470.0
1,Bangladesh,2020-03-15,2.0,0.0,1164124458.0
2,Bangladesh,2020-03-22,22.0,2.0,1164124458.0
3,Bangladesh,2020-03-29,21.0,3.0,1164124458.0
4,Bangladesh,2020-04-05,40.0,4.0,1164124458.0
5,Bangladesh,2020-04-12,533.0,25.0,1164124458.0
6,Bangladesh,2020-04-19,1835.0,57.0,1164124458.0
7,Bangladesh,2020-04-26,2960.0,54.0,1164124458.0
8,Bangladesh,2020-05-03,4039.0,32.0,1164124458.0
9,Bangladesh,2020-05-10,5202.0,51.0,1164124458.0
10,Bangladesh,2020-05-17,7611.0,100.0,1164124458.0
11,Bangladesh,2020-05-24,11342.0,152.0,1164124458.0
12,Bangladesh,2020-05-31,13543.0,170.0,1164124458.0
13,Bangladesh,2020-06-07,18616.0,238.0,1164124458.0
14,Bangladesh,2020-06-14,21751.0,283.0,1164124458.0
15,Bangladesh,2020-06-21,24786.0,293.0,1164124458.0
16,Bangladesh,2020-06-28,25481.0,274.0,1164124458.0
17,Bangladesh,2020-07-05,24630.0,314.0,1164124458.0
18,Bangladesh,2020-07-12,21378.0,300.0,1164124458.0
19,Bangladesh,2020-07-19,20730.0,266.0,1164124458.0
20,Bangladesh,2020-07-26,18928.0,310.0,1164124458.0
21,Bangladesh,2020-08-02,17293.0,226.0,1164124458.0
22,Bangladesh,2020-08-09,16854.0,245.0,1164124458.0
23,Bangladesh,2020-08-16,18949.0,258.0,1164124458.0
24,Bangladesh,2020-08-23,18049.0,284.0,1164124458.0
25,Bangladesh,2020-08-30,16224.0,307.0,1164124458.0
26,Bangladesh,2020-09-06,14335.0,231.0,1164124458.0
27,Bangladesh,2020-09-13,12363.0,254.0,1164124458.0
28,Bangladesh,2020-09-20,11398.0,206.0,1164124458.0
29,Bangladesh,2020-09-27,10230.0,222.0,1164124458.0
30,Bangladesh,2020-10-04,9542.0,187.0,1164124458.0
31,Bangladesh,2020-10-11,9576.0,176.0,1164124458.0
32,Bangladesh,2020-10-18,10303.0,136.0,1164124458.0
33,Bangladesh,2020-10-25,10246.0,143.0,1164124458.0
34,Bangladesh,2020-11-01,10437.0,138.0,1164124458.0
35,Bangladesh,2020-11-08,10986.0,126.0,1164124458.0
36,Bangladesh,2020-11-15,12095.0,127.0,1164124458.0
37,Bangladesh,2020-11-22,15008.0,194.0,1164124458.0
38,Bangladesh,2020-11-29,15066.0,221.0,1164124458.0
39,Bangladesh,2020-12-06,15138.0,229.0,1164124458.0
40,Bangladesh,2020-12-13,12988.0,214.0,1164124458.0
41,Bangladesh,2020-12-20,10180.0,228.0,1164124458.0
42,Bangladesh,2020-12-27,8435.0,172.0,1164124458.0
43,Bangladesh,2021-01-03,6871.0,174.0,1164124458.0
44,Bangladesh,2021-01-10,6434.0,155.0,1164124458.0
45,Bangladesh,2021-01-17,5179.0,125.0,1164124458.0
46,Bangladesh,2021-01-24,4167.0,117.0,1164124458.0
47,Bangladesh,2021-01-31,3340.0,104.0,1164124458.0
48,Bangladesh,2021-02-07,2923.0,78.0,1164124458.0
49,Bangladesh,2021-02-14,2530.0,69.0,1164124458.0
50,Bangladesh,2021-02-21,2759.0,75.0,1164124458.0
51,Bangladesh,2021-02-28,2865.0,59.0,1164124458.0
52,Bangladesh,2021-03-07,4114.0,54.0,1164124458.0
53,Bangladesh,2021-03-14,7065.0,83.0,1164124458.0
54,Bangladesh,2021-03-21,13483.0,145.0,1164124458.0
55,Bangladesh,2021-03-28,24836.0,214.0,1164124458.0
56,Bangladesh,2021-04-04,41650.0,362.0,1164124458.0
57,Bangladesh,2021-04-11,47392.0,473.0,1164124458.0
58,Bangladesh,2021-04-18,34194.0,646.0,1164124458.0
59,Bangladesh,2021-04-25,26372.0,668.0,1164124458.0
60,Bangladesh,2021-05-02,16621.0,526.0,1164124458.0
61,Bangladesh,2021-05-09,11570.0,355.0,1164124458.0
62,Bangladesh,2021-05-16,6646.0,215.0,1164124458.0
63,Bangladesh,2021-05-23,8921.0,227.0,1164124458.0
64,Bangladesh,2021-05-30,9750.0,207.0,1164124458.0
65,Bangladesh,2021-06-06,12160.0,256.0,1164124458.0
66,Bangladesh,2021-06-13,15932.0,279.0,1164124458.0
67,Bangladesh,2021-06-20,24746.0,430.0,1164124458.0
68,Bangladesh,2021-06-27,36738.0,624.0,1164124458.0
69,Bangladesh,2021-07-04,56511.0,893.0,1164124458.0
70,Bangladesh,2021-07-11,76272.0,1354.0,1164124458.0
71,Bangladesh,2021-07-18,82800.0,1475.0,1164124458.0
72,Bangladesh,2021-07-25,60646.0,1380.0,1164124458.0
73,Bangladesh,2021-08-01,99693.0,1642.0,1164124458.0
74,Bangladesh,2021-08-08,89367.0,1736.0,1164124458.0
75,Bangladesh,2021-08-15,65207.0,1523.0,1164124458.0
76,Bangladesh,2021-08-22,6959.0,174.0,166303494.0
77,Brazil,2020-03-08,18.0,0.0,1069967205.0
78,Brazil,2020-03-15,142.0,0.0,1497954087.0
79,Brazil,2020-03-22,1384.0,25.0,1497954087.0
80,Brazil,2020-03-29,2710.0,111.0,1497954087.0
81,Brazil,2020-04-05,6874.0,350.0,1497954087.0
82,Brazil,2020-04-12,11062.0,737.0,1497954087.0
83,Brazil,2020-04-19,16462.0,1239.0,1497954087.0
84,Brazil,2020-04-26,24446.0,1824.0,1497954087.0
85,Brazil,2020-05-03,38726.0,2765.0,1497954087.0
86,Brazil,2020-05-10,60873.0,4072.0,1497954087.0
87,Brazil,2020-05-17,78381.0,4995.0,1497954087.0
