,date,new_cases,new_deaths,location,population,new_cases_per_million,new_deaths_per_million,Log normalized cases,Log normalized deaths
0,2020-03-05,160,4,United States,328239523,0.487448916991023,0.012186222924775576,0.0,0.0
1,2020-03-12,1093,14,United States,328239523,3.3298854141949263,0.042651780236714516,1.2029378932486359,0.0
2,2020-03-19,8281,116,United States,328239523,25.228528010016635,0.3534004648184917,3.2279754181057974,0.0
3,2020-03-26,19811,506,United States,328239523,60.35531559068224,1.5415571999841104,4.100249023046424,0.4327930743595628
4,2020-04-02,31061,1405,United States,328239523,94.62906756661354,4.280410802327421,4.549964697006664,1.4540489868399433
5,2020-04-09,29317,2117,United States,328239523,89.3158743714114,6.449558482937474,4.492179236601698,1.8640116762069623
6,2020-04-16,28140,2100,United States,328239523,85.73007827579619,6.397767035507178,4.451203735740477,1.8559490287836116
7,2020-04-23,28919,2054,United States,328239523,88.10334519039623,6.257625471872259,4.478510502600349,1.8338007955606008
8,2020-04-30,26579,1884,United States,328239523,80.97440477940252,5.739710997569296,4.394133114359213,1.7474088602084055
9,2020-05-07,22936,1542,United States,328239523,69.87580225066316,4.6977889375009845,4.246719412635303,1.547091959195372
10,2020-05-14,22454,1372,United States,328239523,68.4073623882277,4.179874463198023,4.225480456090822,1.430281213357928
11,2020-05-21,21003,1006,United States,328239523,63.98681002226536,3.0648350655810574,4.158676968717405,1.1199937557317818
12,2020-05-28,21356,985,United States,328239523,65.0622441953768,3.0008573952259856,4.175344414692174,1.0988980462441862
13,2020-06-04,21064,817,United States,328239523,64.17264992186819,2.4890360323854117,4.1615771062482425,0.9118954999321002
14,2020-06-11,23004,665,United States,328239523,70.08296804038434,2.0259595612439396,4.249679797905742,0.7060434457279514
15,2020-06-18,30883,617,United States,328239523,94.08678064646102,1.8797248861466327,4.544217554751096,0.631125428977485
16,2020-06-25,42752,887,United States,328239523,130.24635062000135,2.702294933568984,4.869427661968415,0.9941013873816767
17,2020-07-02,51510,593,United States,328239523,156.9280857137975,1.8066075485979793,5.055787647631728,0.5914508040698228
18,2020-07-09,62822,729,United States,328239523,191.39072414506282,2.2209391280403485,5.254317014652536,0.7979301370807553
19,2020-07-16,65627,825,United States,328239523,199.9363129710617,2.513408478234963,5.297998880692108,0.9216397914067783
20,2020-07-23,65279,1093,United States,328239523,198.8761115766062,3.3298854141949263,5.2926820759653035,1.2029378932486359
21,2020-07-30,54731,1007,United States,328239523,166.741041723973,3.0678816213122513,5.1164419605578475,1.1209872977906594
22,2020-08-06,52680,1076,United States,328239523,160.49255591929432,3.2780939667646303,5.078247560929315,1.187262145793827
23,2020-08-13,46277,1017,United States,328239523,140.98545957245983,3.0983471786241905,4.948656761460988,1.1308688011206574
24,2020-08-20,41641,965,United States,328239523,126.86162720264494,2.939926280602108,4.843096942882474,1.0783845064110833
25,2020-08-27,40821,861,United States,328239523,124.36345150306595,2.6230844845579426,4.823208338931066,0.9643509094998279
26,2020-09-03,35753,721,United States,328239523,108.92350705737529,2.1965666821907974,4.69064586575741,0.7868955423570462
27,2020-09-10,38863,833,United States,328239523,118.39829538138831,2.537780924084514,4.774054325229613,0.93129004723894
28,2020-09-17,42204,725,United States,328239523,128.5768380793071,2.208752905115573,4.85652668733408,0.792428059926772
29,2020-09-24,42127,707,United States,328239523,128.34225328800517,2.153914901954083,4.8547005493445345,0.7672870709686699
30,2020-10-01,44341,666,United States,328239523,135.08732767686845,2.0290061169751334,4.905921440987633,0.7075460756124864
31,2020-10-08,51863,661,United States,328239523,158.00351988690892,2.013773338319164,5.062617310544067,0.7000102449237835
32,2020-10-15,59261,778,United States,328239523,180.54193918628135,2.3702203588688495,5.195963100846341,0.8629829292504888
33,2020-10-22,73283,778,United States,328239523,223.26074364908214,2.3702203588688495,5.408340342446765,0.8629829292504888
34,2020-10-29,89433,863,United States,328239523,272.46261870786356,2.6291775960203307,5.60750142563968,0.9666710961555253
35,2020-11-05,125543,1033,United States,328239523,382.4737461612751,3.1470920703232927,5.946660013424068,1.1464788741917358
36,2020-11-12,153888,1147,United States,328239523,468.82836836196594,3.4943994236793965,6.150236749149486,1.251161522201468
37,2020-11-19,175159,1664,United States,328239523,533.6316553201913,5.069468736706639,6.279705816905138,1.623236026453251
38,2020-11-26,160702,1525,United States,328239523,489.58759911432116,4.645997490070688,6.193563402270971,1.5360060941136093
39,2020-12-03,205070,2191,United States,328239523,624.7571837959318,6.675003607045822,6.437363068321913,1.8983697446675638
40,2020-12-10,205924,2491,United States,328239523,627.3589423903715,7.58897032640399,6.441518852732813,2.026695920334278
41,2020-12-17,225787,2413,United States,328239523,687.8726788790757,7.351338979370866,6.533603761038886,1.9948824706971289
42,2020-12-24,172967,2220,United States,328239523,526.9536051574142,6.763353723250445,6.267112508911556,1.9115188799384224
43,2020-12-31,227388,2791,United States,328239523,692.7502146047171,8.502937045762158,6.540669493529712,2.1404116386084193
44,2021-01-07,235891,3218,United States,328239523,718.6550779870589,9.803816342981952,6.577381517980847,2.282771732624426
45,2021-01-14,195101,2985,United States,328239523,594.38606971166,9.093968857613774,6.387529057246791,2.2076114308987997
46,2021-01-21,159234,3214,United States,328239523,485.1152553009285,9.791630120057176,6.184386502501348,2.281527951369555
47,2021-01-28,133660,3008,United States,328239523,407.2026390313759,9.164039639431234,6.009310946137158,2.215287090141828
48,2021-02-04,103397,2913,United States,328239523,315.0047229382551,8.874616844967813,5.7525876321680105,2.1831951620315317
49,2021-02-11,78119,2681,United States,328239523,237.9938871651358,8.167815915330829,5.472244989161529,2.1002015433080565
50,2021-02-18,64845,2204,United States,328239523,197.55390638926806,6.714608831551343,5.286011490841939,1.9042855753449024
51,2021-02-25,67119,2011,United States,328239523,204.48177412200297,6.126623575430921,5.320478847413283,1.8126437948447494
52,2021-03-04,53448,1464,United States,328239523,162.83231072085124,4.460157590467861,5.09272090267741,1.495184099593354
53,2021-03-11,52685,1149,United States,328239523,160.50778869795033,3.500492535141784,5.078342469105725,1.2529036829208529
54,2021-03-18,55669,1048,United States,328239523,169.5987109998329,3.1927904062912007,5.133435123092086,1.1608952699530846
55,2021-03-25,59884,793,United States,328239523,182.43994340681516,2.415918694836758,5.206421041641825,0.8820796267069452
56,2021-04-01,78326,1567,United States,328239523,238.62452420149296,4.773952830780832,5.47489128812666,1.563174647428118
57,2021-04-08,68970,790,United States,328239523,210.1209487804429,2.4067790276431764,5.347683311497434,0.8782893505331645
58,2021-04-15,61351,719,United States,328239523,186.90924066447658,2.1904735707284098,5.230623154996813,0.7841177627931439
59,2021-04-22,51049,698,United States,328239523,155.5236235217171,2.126495900373338,5.046797639834459,0.7544755078344696
60,2021-04-29,45678,697,United States,328239523,139.1605726894747,2.123449344642144,4.9356284656063645,0.7530418158326211
61,2021-05-06,35843,626,United States,328239523,109.19769707318275,1.9071438877273776,4.693159974015009,0.6456067761721958
62,2021-05-13,29325,580,United States,328239523,89.34024681726095,1.7670023240924584,4.492452078593773,0.5692845086125622
63,2021-05-20,23076,583,United States,328239523,70.3023200530303,1.7761419912860403,4.252804800448877,0.5744435914225897
64,2021-05-27,15995,489,United States,328239523,48.72965892044634,1.4897657525538142,3.8862878574557156,0.39861889454696925
65,2021-06-03,14335,408,United States,328239523,43.67237640666447,1.242994738327109,3.7767157833895673,0.21752357947625905
66,2021-06-10,7244,318,United States,328239523,22.06924971676857,0.9688047225196582,3.0941852240754013,0.0
67,2021-06-17,11281,275,United States,328239523,34.36819520359832,0.8378028260783208,3.5371315786770174,0.0
68,2021-06-24,12066,247,United States,328239523,36.75974145258552,0.7524992656048918,3.604403264072804,0.0
69,2021-07-01,14544,200,United States,328239523,44.30910655448399,0.6093111462387788,3.7911902214893574,0.0
70,2021-07-08,24325,235,United States,328239523,74.10746816129148,0.7159405968305651,4.305516312126303,0.0
71,2021-07-15,48386,204,United States,328239523,147.41064560954774,0.6214973691635545,4.99322219973583,0.0
72,2021-07-22,51202,268,United States,328239523,155.98974654858975,0.8164769359599636,5.0497902778367765,0.0
